ISIN,NAME,Country,Region
CNE000000644,CHINA INTL.MAR.CTRS. (GP.) 'A',CN,EM
CNE0000009S5,SHAI.LJZ.FN&T.ZONE DEV. 'A',CN,EM
CNE000000HW5,GUANGDONG ELEC.PWR.DEV. 'B',CN,EM
CNE000000RN3,BENGANG STL.PLATES 'B',CN,EM
CNE000000SJ9,SHAI.ZHENHUA HEAVY IND. 'B',CN,EM
CNE000000SK7,INNER MONGOLIA YITAI COAL 'B',CN,EM
CNE000000T59,YANTAI CHANGYU PION.WINE 'B',CN,EM
CNE000000TK5,ZTE 'A',CN,EM
CNE000000TR0,CHINA EASTERN AIRL. 'A',CN,EM
CNE000001B33,CHINA MERCHANTS BANK 'A',CN,EM
CNE100000114,CHINA MOLYBDENUM 'H',CN,EM
CNE100000171,SHANDONG WEIGAO GP MEDICAL POLYMER 'H',CN,EM
CNE1000001Q4,CHINA CITIC BANK 'H',CN,EM
CNE1000001S0,AIR CHINA 'H',CN,EM
CNE1000001T8,ALUMINUM CORPORATION OF CHINA 'H',CN,EM
CNE1000001V4,ANGANG STEEL 'H',CN,EM
CNE1000001W2,ANHUI CONCH CEMENT 'H',CN,EM
CNE1000001X0,ANHUI EXPRESSWAY 'H',CN,EM
CNE1000001Z5,BANK OF CHINA 'H',CN,EM
CNE100000205,BANK OF COMMS.'H',CN,EM
CNE100000221,BEJ.CAPI.ARPT.'H',CN,EM
CNE100000296,BYD 'H',CN,EM
CNE1000002F5,CHIN.COMMS.CNUT.GP. 'H',CN,EM
CNE1000002H1,CHINA CON.BANK 'H',CN,EM
CNE1000002J7,COSCO SHIPPING HDG.'H',CN,EM
CNE1000002L3,CHINA LIFE INSURANCE 'H',CN,EM
CNE1000002N9,CHINA NATIONAL BUILDING MATERIAL 'H',CN,EM
CNE1000002P4,CHINA OILFIELD SVS.'H',CN,EM
CNE1000002Q2,CHINA PTL.& CHM. 'H',CN,EM
CNE1000002R0,CHINA SHENHUA EN.CO.'H',CN,EM
CNE1000002S8,COSCO SHIP.EN.TRSP. 'H',CN,EM
CNE1000002T6,CHINA SOUTHERN AIRL.'H',CN,EM
CNE1000002V2,CHINA TELECOM 'H',CN,EM
CNE1000002Z3,DGI.PWG.'H',CN,EM
CNE100000304,DONGFANG ELECTRIC 'H',CN,EM
CNE100000312,DONGFENG MOTOR GP.'H',CN,EM
CNE100000379,GUANGSHEN RAILWAY 'H',CN,EM
CNE1000003C0,HARBIN ELECTRIC 'H',CN,EM
CNE1000003D8,HUADIAN POWER INTERNATIONAL 'H',CN,EM
CNE1000003G1,INDL&COML.BOC.'H',CN,EM
CNE1000003J5,JIANGSU EXPRESSWAY 'H',CN,EM
CNE1000003K3,JIANGXI COPPER 'H',CN,EM
CNE1000003R8,MAANSHAN IRON & STL.'H',CN,EM
CNE1000003W8,PETROCHINA 'H',CN,EM
CNE1000003X6,PING AN INSURANCE (GROUP) OF CHINA 'H',CN,EM
CNE100000437,SHANGHAI ELEC.GP.CO.'H',CN,EM
CNE1000004C8,SINOPEC SHANGHAI PETROCHEMICAL 'H',CN,EM
CNE1000004K1,TSINGTAO BREWERY 'H',CN,EM
CNE1000004L9,WEICHAI POWER 'H',CN,EM
CNE1000004Q8,YANKUANG ENERGY GROUP COMPANY 'H',CN,EM
CNE1000004R6,ZHAOJIN MINING IND.'H',CN,EM
CNE1000004S4,ZHEJIANG EXPRESSWAY 'H',CN,EM
CNE100000502,ZIJIN MINING GROUP 'H',CN,EM
CNE100000536,COSCO SHIP.DEV.'H',CN,EM
CNE100000569,GUANGZHOU R&F PROPS.'H',CN,EM
CNE100000593,PICC PROPERTY & CLTY.'H',CN,EM
CNE1000006Z4,HUANENG POWER INTERNATIONAL 'H',CN,EM
CZ0005112300,CEZ,CZ,EM
CZ0009093209,TELF.O2 CZECH REPUBLIC DEAD - DELIST.25/02/22,CZ,EM
EGS37091C013,EASTERN TOBACCO,EG,EM
EGS380P1C010,ALEXANDRIA MRL.OILS,EG,EM
EGS380S1C017,SIDI KERIR PETROCHEM.,EG,EM
EGS3C251C013,EZZ STEEL,EG,EM
EGS3D041C017,EL EZZ ALDK.STEEL ALEXA.,EG,EM
EGS3G0Z1C014,ELSWEDY ELECTRIC,EG,EM
EGS48031C016,TELECOM EGYPT,EG,EM
EGS60081C014,QATAR NATIONAL BANK,EG,EM
EGS60121C018,COML.INBLK.EGY. (CIB),EG,EM
EGS673T1C012,GB CORP,EG,EM
EGS69101C011,EFG HERMES HDG.,EG,EM
GB00B1CL5249,LAMPRELL DEAD - DELIST.25/10/22,AE,EM
GRS003003035,NATIONAL BK.OF GREECE,GR,EM
GRS004013009,BANK OF GREECE,GR,EM
GRS260333000,HELLENIC TELECOM.ORG.,GR,EM
GRS298343005,HELLENIQ ENERGY HOLDINGS,GR,EM
GRS314003013,MIG HOLIDINGS,GR,EM
GRS419003009,GREEK ORGANISATION OF FOOTBALL PROGNOSTICS,GR,EM
GRS434003000,PUBLIC POWER,GR,EM
HK0267001375,CITIC,CN,EM
HK0883013259,CNOOC,CN,EM
HK0941009539,CHINA MOBILE,CN,EM
HK0992009065,LENOVO GROUP,CN,EM
HU0000061726,OTP BANK,HU,EM
HU0000073507,MAGYAR TKOM.TELECOM.,HU,EM
HU0000123096,RICHTER GEDEON,HU,EM
HU0000153937,MOL MAGYAR OLAJ-ES GAZIPARI,HU,EM
ID1000053705,MEDCO ENERGI INTL.,ID,EM
ID1000057003,INDOFOOD SUKSES MAKMUR,ID,EM
ID1000061302,ICT.TUNGGAL PRAKARSA,ID,EM
ID1000066004,ASTRA AGRO LESTARI,ID,EM
ID1000068604,GUDANG GARAM,ID,EM
ID1000092703,BANK PAN INDONESIA,ID,EM
ID1000094006,BUKIT ASAM,ID,EM
ID1000094204,BANK DANAMON INDONESIA SERIES A,ID,EM
ID1000095003,BANK MANDIRI,ID,EM
ID1000095706,UNILEVER INDONESIA,ID,EM
ID1000096605,BANK NEGARA INDONESIA,ID,EM
ID1000097405,INDOSAT,ID,EM
ID1000099302,BANK MAYBANK INDONESIA,ID,EM
ID1000105604,GLOBAL MEDIACOM,ID,EM
ID1000106602,ANEKA TAMBANG,ID,EM
ID1000106800,SEMEN INDONESIA (PERSERO),ID,EM
ID1000108509,INDO TAMBANGRAYA MEGAH,ID,EM
ID1000108905,LIPPO KARAWACI,ID,EM
ID1000109309,VALE INDONESIA,ID,EM
ID1000109507,BANK CENTRAL ASIA,ID,EM
ID1000110000,BAKRIE & BROTHERS,ID,EM
ID1000111602,PERUSAHAAN GAS NEGARA,ID,EM
ID1000118201,BANK RAKYAT INDONESIA,ID,EM
ID1000122807,ASTRA INTERNATIONAL,ID,EM
ID1000125107,KALBE FARMA,ID,EM
ID1000129000,TELEKOMUNIKASI INDONESIA (PERSERO),ID,EM
INE001A01036,HOUSING DEVELOPMENT FINANCE CORPORATION,IN,EM
INE002A01018,RELIANCE INDUSTRIES,IN,EM
INE003A01024,SIEMENS,IN,EM
INE008A01015,IDBI BANK,IN,EM
INE009A01021,INFOSYS,IN,EM
INE012A01025,ACC,IN,EM
INE013A01015,RELIANCE CAPITAL DEAD - DELIST.13/02/25,IN,EM
INE016A01026,DABUR INDIA,IN,EM
INE018A01030,LARSEN & TOUBRO,IN,EM
INE019A01038,JSW STEEL,IN,EM
INE021A01026,ASIAN PAINTS,IN,EM
INE028A01039,BANK OF BARODA,IN,EM
INE029A01011,BHARAT PETROLEUM (NSE),IN,EM
INE030A01027,HINDUSTAN UNILEVER,IN,EM
INE036A01016,RELIANCE INFRASTRUCTURE,IN,EM
INE038A01020,HINDALCO INDUSTRIES,IN,EM
INE040A01034,HDFC BANK,IN,EM
INE040H01021,SUZLON ENERGY,IN,EM
INE043D01016,IDFC DEAD - DELIST.11/10/24,IN,EM
INE044A01036,SUN PHARM.INDUSTRIES,IN,EM
INE047A01021,GRASIM INDUSTRIES,IN,EM
INE053A01029,INDIAN HOTELS,IN,EM
INE059A01026,CIPLA,IN,EM
INE062A01020,STATE BANK OF INDIA,IN,EM
INE067A01029,CG POWER AND INDUSTRIAL SOLUTIONS,IN,EM
INE075A01022,WIPRO,IN,EM
INE079A01024,AMBUJA CEMENTS,IN,EM
INE081A01020,TATA STEEL (NSE),IN,EM
INE084A01016,BANK OF INDIA,IN,EM
INE090A01021,ICICI BANK,IN,EM
INE094A01015,HINDUSTAN PETROLEUM,IN,EM
INE101A01026,MAHINDRA & MAHINDRA,IN,EM
INE103A01014,MNGL.REF.& PETROCHEM.,IN,EM
INE111A01025,CONTAINER CORP.OF INDIA,IN,EM
INE114A01011,STEEL AUTHORITY OF INDIA,IN,EM
INE117A01022,ABB INDIA,IN,EM
INE129A01019,GAIL (INDIA),IN,EM
INE134E01011,POWER FINANCE,IN,EM
INE139A01034,NATIONAL ALUMINIUM,IN,EM
INE140A01024,PIRAMAL ENTERPRISES DEAD - DELIST.24/09/25,IN,EM
INE151A01013,TATA COMMUNICATIONS,IN,EM
INE152A01029,THERMAX,IN,EM
INE154A01025,ITC,IN,EM
INE155A01022,TATA MOTORS PASSENGER VEHICLES,IN,EM
INE158A01026,HERO MOTOCORP,IN,EM
INE159A01016,GLAXOSMITHKLINE PHARMS.,IN,EM
INE160A01022,PUNJAB NATIONAL BANK,IN,EM
INE191I01012,HOUSING DEV.&.INFR.,IN,EM
INE205A01025,VEDANTA,IN,EM
INE208A01029,ASHOK LEYLAND,IN,EM
INE213A01029,OIL & NATURAL GAS,IN,EM
INE216A01030,BRITANNIA INDS.,IN,EM
INE238A01034,AXIS BANK (NSE),IN,EM
INE242A01010,INDIAN OIL (NSE),IN,EM
INE245A01021,TATA POWER,IN,EM
INE256A01028,ZEE ENTERTAINMENT ENTS.,IN,EM
INE257A01026,BHARAT HEAVY ELS.,IN,EM
INE259A01022,COLGATE-PALMOLIVE INDIA,IN,EM
INE263A01024,BHARAT ELECTRONICS,IN,EM
INE267A01025,HINDUSTAN ZINC,IN,EM
INE298A01020,CUMMINS INDIA,IN,EM
INE302A01020,EXIDE INDUSTRIES,IN,EM
INE330H01018,RELIANCE COMMUNICATIONS,IN,EM
INE347G01014,PETRONET L N G,IN,EM
INE361B01024,DIVIS LABORATORIES,IN,EM
INE397D01024,BHARTI AIRTEL,IN,EM
INE423A01024,ADANI ENTERPRISES,IN,EM
INE424H01027,SUN TV NETWORK,IN,EM
INE455F01025,JAIPRAKASH ASSOCIATES,IN,EM
INE465A01025,BHARAT FORGE,IN,EM
INE467B01029,TATA CONSULTANCY SVS.,IN,EM
INE481G01011,ULTRATECH CEMENT,IN,EM
INE585B01010,MARUTI SUZUKI INDIA,IN,EM
INE589A01014,NLC INDIA,IN,EM
INE628A01036,UPL,IN,EM
INE669C01036,TECH MAHINDRA,IN,EM
INE669E01016,VODAFONE IDEA,IN,EM
INE686F01025,UNITED BREWERIES,IN,EM
INE692A01016,UNION BANK OF INDIA,IN,EM
INE694A01020,UNITECH,IN,EM
INE733E01010,NTPC,IN,EM
INE742F01042,ADANI PORTS AND SEZ.,IN,EM
INE749A01030,JINDAL STEEL,IN,EM
INE752E01010,POWER GRID CORPORATION OF INDIA,IN,EM
INE836F01026,DISH TV INDIA,IN,EM
INE854D01024,UNITED SPIRITS,IN,EM
INE881D01027,ORACLE FINL.SVS.SFTW.,IN,EM
INE917I01010,BAJAJ AUTO,IN,EM
INE935A01035,GLENMARK PHARMACEUTICALS,IN,EM
KR7000100008,YUHAN,KR,EM
KR7000120006,CJ LOGISTICS,KR,EM
KR7000150003,DOOSAN,KR,EM
KR7000210005,DL,KR,EM
KR7000240002,HANKOOK & COMPANY,KR,EM
KR7000270009,KIA CORPORATION,KR,EM
KR7000660001,SK HYNIX,KR,EM
KR7000700005,EUSU HOLDINGS,KR,EM
KR7000720003,HYUNDAI ENGR.& CON.,KR,EM
KR7000810002,SAMSUNG FIRE & MAR.IN.,KR,EM
KR7000880005,HANWHA,KR,EM
KR7001040005,CJ,KR,EM
KR7001120005,LX INTERNATIONAL,KR,EM
KR7001230002,DONGKUK HOLDINGS,KR,EM
KR7001440007,TAIHAN C&S,KR,EM
KR7001740000,SK NETWORKS,KR,EM
KR7001800002,ORION HOLDINGS,KR,EM
KR7002380004,KCC,KR,EM
KR7002790004,AMOREPACIFIC HOLDINGS,KR,EM
KR7002990000,KUMHOE&C,KR,EM
KR7003470002,YUANTA SECURITIES KOREA,KR,EM
KR7003480001,HANJIN HVIND.& CON.HDG.,KR,EM
KR7003490000,KOREAN AIR LINES,KR,EM
KR7003550001,LG,KR,EM
KR7004020004,HYUNDAI STEEL,KR,EM
KR7004170007,SHINSEGAE,KR,EM
KR7004370003,NONGSHIM,KR,EM
KR7004990008,LOTTE,KR,EM
KR7005300009,LOTTE CHILSUNG,KR,EM
KR7005380001,HYUNDAI MOTOR,KR,EM
KR7005490008,POSCO HOLDINGS,KR,EM
KR7005830005,DB INSURANCE,KR,EM
KR7005880000,KOREA LINE,KR,EM
KR7005930003,SAMSUNG ELECTRONICS,KR,EM
KR7005940002,NH INVESTMENT & SECS.,KR,EM
KR7006120000,SK DISCOVERY,KR,EM
KR7006260004,LS,KR,EM
KR7006360002,GS ENGR. & CON.,KR,EM
KR7006400006,SAMSUNG SDI,KR,EM
KR7006800007,MIRAE ASSET SECURITIES,KR,EM
KR7009150004,SAMSUNG ELTO.MECHANICS,KR,EM
KR7009540006,HD KOA.SHIPBLDG.& OFFS. ENGR.,KR,EM
KR7009830001,HANWHA SOLUTIONS,KR,EM
KR7010060002,OCI HOLDINGS COMPANY,KR,EM
KR7010120004,LS ELECTRIC,KR,EM
KR7010130003,KOREA ZINC,KR,EM
KR7010140002,SAMSUNG HEAVY INDS.,KR,EM
KR7010620003,HD HYUNDAI MIPO DEAD - DELIST.15/12/25,KR,EM
KR7010950004,S-OIL,KR,EM
KR7011170008,LOTTE CHEMICAL,KR,EM
KR7011200003,HMM,KR,EM
KR7011810009,STX SUSP - SUSP.03/07/25,KR,EM
KR7012330007,HYUNDAI MOBIS,KR,EM
KR7012450003,HANWHA AEROSPACE,KR,EM
KR7012630000,HDC HOLDINGS,KR,EM
KR7012750006,S-1,KR,EM
KR7015760002,KOREA ELECTRIC POWER,KR,EM
KR7016360000,SAMSUNG SECURITIES,KR,EM
KR7017670001,SK TELECOM,KR,EM
KR7021240007,COWAY,KR,EM
KR7023530009,LOTTE SHOPPING,KR,EM
KR7024110009,INDUSTRIAL BANK OF KOREA,KR,EM
KR7028050003,SAMSUNG E&A,KR,EM
KR7028670008,PANOCEAN,KR,EM
KR7030200000,KT,KR,EM
KR7032640005,LG UPLUS,KR,EM
KR7033780008,KT & G,KR,EM
KR7034020008,DOOSAN ENERBILITY,KR,EM
KR7034220004,LG DISPLAY,KR,EM
KR7035250000,KANGWON LAND,KR,EM
KR7035420009,NAVER,KR,EM
KR7036460004,KOREA GAS,KR,EM
KR7036570000,NCSOFT,KR,EM
KR7042660001,HANWHA OCEAN,KR,EM
KR7042670000,HD HYUNDAI INFRACORE DEAD - DELIST.26/01/26,KR,EM
KR7047040001,DAEWOO ENGR.& CON.,KR,EM
KR7047050000,POSCO INTERNATIONAL,KR,EM
KR7051900009,LG H & H,KR,EM
KR7051910008,LG CHEM,KR,EM
KR7066570003,LG ELECTRONICS,KR,EM
KR7069960003,HYUNDAI DEPARTMENT STORE,KR,EM
KR7071050009,KOREA INVESTMENT HDG.,KR,EM
KR7077970002,STX ENGINE,KR,EM
KR7078930005,GS HOLDINGS,KR,EM
KR7086280005,HYUNDAI GLOVIS,KR,EM
KR7097230007,HJ SHIPBUILDING & CONSTRUCTION,KR,EM
KR7105560007,KB FINANCIAL GROUP,KR,EM
KYG011981035,AGILE GROUP HDG.,CN,EM
KYG2953R1149,AAC TECHNOLOGIES HDG.,CN,EM
KYG3066L1014,ENN ENERGY HOLDINGS,CN,EM
KYG5496K1242,LI NING,CN,EM
KYG5636C1078,LONKING HOLDINGS,CN,EM
KYG693701156,PARKSON RETAIL GROUP,CN,EM
KYG8020E1199,SEMICON.MNFG.INTL.,CN,EM
KYG811511131,SHUI ON LAND,CN,EM
KYG826001003,SOHO CHINA,CN,EM
KYG875721634,TENCENT HOLDINGS,CN,EM
KYG8878S1030,TINGYI CYMN.ISLE.HLDG.,CN,EM
MX01AM050019,AMERICA MOVIL B,MX,EM
MX01EL000003,GRUPO ELEKTRA SUSP - SUSP.30/09/25,MX,EM
MX01HO000007,DESARROLLADORA HOMEX SUSP - SUSP.03/06/25,MX,EM
MX01WA000038,WALMART DE MEXICO 'V',MX,EM
MXP000511016,SIGMAF A,MX,EM
MXP225611567,CEMEX CPO,MX,EM
MXP320321310,FOMENTO ECONOMICO MEXICANO,MX,EM
MXP370641013,GRUPO FINANCIERO INBURSA SRIES 'O',MX,EM
MXP370711014,GPO FINANCE BANORTE,MX,EM
MXP370841019,GRUPO MEXICO 'B',MX,EM
MXP461181085,GRUPO CARSO SERIES A1,MX,EM
MXP495211262,GRUPO BIMBO 'A',MX,EM
MXP4987V1378,GRUPO TELEVISA,MX,EM
MXP554091415,INDUST PENOLES,MX,EM
MXP606941179,KIMBERLY-CLARK DE MEXICO 'A',MX,EM
MXP8728U1671,ORGANIZACION SORIANA,MX,EM
MYL1015OO006,AMMB HOLDINGS,MY,EM
MYL1023OO000,CIMB GROUP HOLDINGS,MY,EM
MYL1082OO006,HONG LEONG FINL.GP.,MY,EM
MYL1155OO000,MALAYAN BANKING,MY,EM
MYL1295OO004,PUBLIC BANK,MY,EM
MYL1818OO003,BURSA MALAYSIA,MY,EM
MYL1899OO003,BATU KAWAN,MY,EM
MYL1961OO001,IOI CORPORATION,MY,EM
MYL2291OO002,GENTING PLANTATIONS,MY,EM
MYL2445OO004,KUALA LUMPUR KEPONG,MY,EM
MYL3182OO002,GENTING,MY,EM
MYL3336OO004,IJM CORPORATION,MY,EM
MYL3395OO000,BERJAYA CORPORATION,MY,EM
MYL3689OO006,FRASER & NEAVE HOLDINGS,MY,EM
MYL3816OO005,MISC BHD.,MY,EM
MYL4065OO008,PPB GROUP,MY,EM
MYL4162OO003,BRIT.AMER.TOB.(MALAYSIA),MY,EM
MYL4197OO009,SIME DARBY,MY,EM
MYL4324OO009,HENGYUAN REFINING COMPANY,MY,EM
MYL4588OO009,UMW HOLDINGS DEAD - DELIST.19/02/24,MY,EM
MYL4677OO000,YTL CORPORATION,MY,EM
MYL4707OO005,NESTLE (MALAYSIA),MY,EM
MYL4715OO008,GENTING MALAYSIA,MY,EM
MYL4863OO006,TELEKOM MALAYSIA,MY,EM
MYL5014OO005,MALAYSIA AIRPORTS HDG. DEAD - DELIST.25/02/25,MY,EM
MYL5077OO002,MAYBULK,MY,EM
MYL5099OO006,CAPITAL A,MY,EM
MYL5235SS008,KLCC PROPERTY HOLDINGS STAPLED UNITS,MY,EM
MYL5347OO009,TENAGA NASIONAL,MY,EM
MYL5398OO002,GAMUDA,MY,EM
MYL5657OO001,PARKSON HOLDINGS,MY,EM
MYL5681OO001,PETRONAS DAGANGAN,MY,EM
MYL5819OO007,HONG LEONG BANK,MY,EM
MYL6033OO004,PETRONAS GAS,MY,EM
MYL6947OO005,CELCOMDIGI,MY,EM
MYL7164OO006,KNM GROUP DEAD - DELIST.05/11/25,MY,EM
MYL8664OO004,SP SETIA,MY,EM
PEP116001004,BANCO BBVA PERU,PE,EM
PEP617001008,SOCIEDAD MINERA EL BROCAL SAA,PE,EM
PEP620001003,NEXA RESOURCES PERU,PE,EM
PEP622005002,MINSUR 'I',PE,EM
PEP646501002,CERRO VERDE,PE,EM
PEP648014202,VOLCAN COMPANIA MINERA B PREF.,PE,EM
PEP700511004,ORYGEN PERU,PE,EM
PEP702101002,ENGIE ENERGIA PERU,PE,EM
PHY0001Z1040,ABOITIZ EQUITY VENT.,PH,EM
PHY0005M1090,ABOITIZ POWER,PH,EM
PHY003341054,ALLIANCE GLOBAL GP.,PH,EM
PHY0486V1154,AYALA,PH,EM
PHY0488F1004,AYALA LAND,PH,EM
PHY077751022,BDO UNIBANK,PH,EM
PHY0967S1694,BANK OF THE PHILP.ISLE.,PH,EM
PHY272571498,GLOBE TELECOM,PH,EM
PHY411571011,INTL.CTNR.TERM.SVS.,PH,EM
PHY4466S1007,JOLLIBEE FOODS,PH,EM
PHY5764J1483,MANILA ELECTRIC,PH,EM
PHY594811127,MEGAWORLD,PH,EM
PHY6028G1361,METROPOLITAN BANK AND TRUST,PH,EM
PHY6885F1067,PETRON,PH,EM
PHY7072Q1032,PLDT,PH,EM
PHY751061151,SAN MIGUEL,PH,EM
PHY806761029,SM INVESTMENTS,PH,EM
PHY8076N1120,SM PRIME HOLDINGS,PH,EM
PHY9297P1004,UNIVERSAL ROBINA,PH,EM
PK0022501016,PAKISTAN STATE OIL COMPANY,PK,EM
PK0053401011,FAUJI FERTILIZER COMPANY,PK,EM
PK0060301014,JAHANGIR SIDDIQUI & COMPANY,PK,EM
PK0078001010,NATIONAL BANK OF PAKISTAN,PK,EM
PK0081901016,UNITED BANK,PK,EM
PLBH00000012,BANK HANDLOWY W WARSZAWIE,PL,EM
PLBIG0000016,BANK MILLENNIUM,PL,EM
PLBSK0000017,ING BANK SLASKI,PL,EM
PLBUDMX00013,BUDIMEX,PL,EM
PLBZ00000044,SANTANDER BANK POLSKA,PL,EM
PLCIECH00018,CIECH DEAD - DELIST.07/03/24,PL,EM
PLGTC0000037,GLOBE TRADE CENTRE,PL,EM
PLKGHM000017,KGHM,PL,EM
PLLOTOS00025,GRUPA LOTOS DEAD - DELIST.12/08/22,PL,EM
PLMSTSD00019,POLIMEX MOSTOSTAL,PL,EM
PLPEKAO00016,BANK POLSKA KASA OPIEKI,PL,EM
PLPGNIG00014,POLISH OIL AND GAS DEAD - DELIST.18/11/22,PL,EM
PLPKN0000018,ORLEN,PL,EM
PLPKO0000016,PKO BANK,PL,EM
PLSTLPD00017,STALPRODUKT,PL,EM
PLTLKPL00017,ORANGE POLSKA,PL,EM
RU0007288411,MMC NORILSK NICKEL,RU,EM
RU0007661302,URALKALI,RU,EM
RU0007661625,GAZPROM,RU,EM
RU0008943394,ROSTELECOM,RU,EM
RU0009024277,NK LUKOIL,RU,EM
RU0009029540,SBERBANK OF RUSSIA,RU,EM
RU0009033591,TATNEFT,RU,EM
RU0009046510,SEVERSTAL,RU,EM
RU0009062467,GAZPROM NEFT,RU,EM
RU0009084396,MAGNITOGORSK IOSTL.WORKS,RU,EM
RU000A0B6NK6,TMK OAO,RU,EM
RU000A0DKVS5,NOVATEK,RU,EM
RU000A0DQZE3,SISTEMA JSFC,RU,EM
RU000A0J2Q06,OC ROSNEFT,RU,EM
RU000A0JP5V6,VTB BANK,RU,EM
RU000A0JPKH7,FED.HYGN.CO. RUSHYDRO,RU,EM
TH0001010006,BANGKOK BANK,TH,EM
TH0003010Z04,SIAM CEMENT,TH,EM
TH0016010009,KASIKORNBANK,TH,EM
TH0021010Z06,SIAM CITY CEMENT,TH,EM
TH0023010000,BANK OF AYUDHYA,TH,EM
TH0068010Z07,TMBTHANACHART BANK,TH,EM
TH0083B10Z02,THANACHART CAPITAL,TH,EM
TH0101A10Z01,CHAROEN POKPHAND FOODS,TH,EM
TH0128B10Z09,MINOR INTERNATIONAL,TH,EM
TH0143010Z08,LAND AND HOUSES,TH,EM
TH0148A10Z06,BANPU,TH,EM
TH0150010Z03,KRUNG THAI BANK,TH,EM
TH0168A10Z01,BUMRUNGRAD HOSPITAL,TH,EM
TH0245010002,THAI AIRWAYS INTL.,TH,EM
TH0264A10Z04,BANGKOK DUSIT MED.SVS.,TH,EM
TH0268010Z03,ADVANCED INFO SER.,TH,EM
TH0324B10Z01,HANA MICROELECTRONICS,TH,EM
TH0355A10Z04,PTT EXPLORATION & PRDN.,TH,EM
TH0450010Y08,THAI UNION GROUP,TH,EM
TH0465010005,ELECTRICITY GENERATING,TH,EM
TH0471010Y04,IRPC,TH,EM
TH0481B10Z00,CENTRAL PATTANA,TH,EM
TH0554010Z06,TOTAL ACCESS COMMS. DEAD - DELIST.01/03/23,TH,EM
TH0592010Z06,BEC WORLD,TH,EM
TH0637010Y00,RATCH GROUP PCL,TH,EM
TH0646010Z00,PTT,TH,EM
TH0737010Y08,CP ALL,TH,EM
