,NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
355,MAANSHAN IRON & STL.'H',CNE1000003R8,0.96,1.48,1.32,2.57,2.64,9.81,12.42,13.28,24.9,21.86,13.22,23.76,23.4,15.1,12.54,10.25,11.14,7.57,15.53,24.83,21.62,17.59,14.71,21.55,16.26,9.46,14.28
356,PETROCHINA 'H',CNE1000003W8,,,14.53,16.95,20.89,51.36,61.92,116.05,151.42,187.04,96.55,154.88,202.95,221.07,219.86,154.93,181.57,100.48,135.82,143.63,118.01,82.97,61.7,109.51,129.91,192.78,216.27
357,PING AN INSURANCE (GROUP) OF CHINA 'H',CNE1000003X6,,,,,,,15.9,21.55,46.16,71.02,42.36,79.43,101.82,84.93,94.47,84.68,110.37,93.89,111.13,258.87,224.35,265.07,284.85,196.46,205.41,114.29,166.57
358,SHANGHAI ELEC.GP.CO.'H',CNE100000437,,,,,,,,24.31,29.67,47.54,18.68,28.36,39.54,31.79,27.43,22.17,42.12,30.92,32.52,28.95,26.72,22.41,29.51,22.11,19.3,14.72,27.59
359,SINOPEC SHANGHAI PETROCHEMICAL 'H',CNE1000004C8,6.65,12.68,9.29,12.45,17.02,42.71,40.45,55.82,57.14,55.4,27.66,43.78,76.23,48.23,49.66,56.91,59.73,81.74,133.93,140.41,116.1,68.16,66.21,66.78,60.99,44.71,50.37
360,TSINGTAO BREWERY 'H',CNE1000004K1,2.7,9.23,7.73,8.56,22.32,42.98,39.48,50.58,69.46,134.86,75.64,190.17,184.92,216.94,231.81,300.45,272.24,154.35,176.54,236.93,191.52,244.69,459.77,404.55,449.53,273.86,307.31
361,WEICHAI POWER 'H',CNE1000004L9,,,,,,,25.89,13.0,33.64,40.47,24.58,92.16,174.14,139.54,129.95,121.24,125.32,61.04,117.85,174.9,203.65,272.34,489.73,292.86,256.14,313.07,311.73
362,YANKUANG ENERGY GROUP COMPANY 'H',CNE1000004Q8,6.25,6.79,11.47,16.51,19.29,40.13,67.24,58.95,73.79,140.27,54.55,170.63,258.44,218.01,164.27,77.0,81.67,40.26,81.16,193.81,98.04,90.82,104.25,311.36,534.96,626.59,473.52
363,ZHAOJIN MINING IND.'H',CNE1000004R6,,,,,,,,,12.83,26.42,11.7,24.95,48.13,51.34,40.73,17.06,18.32,15.93,27.47,25.79,32.4,33.15,33.99,24.81,38.28,30.69,51.75
364,ZHEJIANG EXPRESSWAY 'H',CNE1000004S4,6.03,5.74,7.09,11.05,19.82,32.66,37.41,34.4,43.53,64.91,37.45,58.39,63.93,53.41,69.37,74.88,109.17,78.02,101.27,122.73,110.44,93.85,106.18,109.92,116.01,114.34,119.3
365,ZIJIN MINING GROUP 'H',CNE100000502,,,,,,11.96,15.82,47.29,98.22,237.13,105.16,168.25,157.71,147.1,123.63,74.0,114.38,83.11,134.62,210.61,154.63,180.31,573.79,570.07,760.13,711.22,900.72
366,COSCO SHIP.DEV.'H',CNE100000536,,,,,,,13.85,13.89,12.25,25.91,9.92,25.0,30.37,16.52,19.5,15.1,19.59,12.09,13.54,14.09,7.6,6.94,11.44,13.63,12.51,9.59,13.48
367,GUANGZHOU R&F PROPS.'H',CNE100000569,,,,,,,,40.18,68.73,111.93,29.57,56.59,62.29,44.9,83.85,65.67,59.06,59.77,80.26,194.58,147.86,125.57,120.54,46.39,28.65,12.56,16.09
368,PICC PROPERTY & CLTY.'H',CNE100000593,,,,,,16.91,12.11,12.85,22.04,40.35,17.06,35.77,50.29,56.79,65.4,61.88,93.95,81.15,76.86,111.19,84.87,90.82,68.0,89.98,95.64,134.76,192.51
369,HUANENG POWER INTERNATIONAL 'H',CNE1000006Z4,6.19,5.53,12.62,18.17,24.03,50.72,44.12,45.76,59.44,61.17,52.01,45.44,45.26,52.2,87.87,83.14,131.55,81.17,70.89,74.27,75.34,56.82,41.72,72.98,68.1,75.75,75.42
370,CEZ,CZ0005112300,1.52,2.87,2.8,2.1,2.98,5.78,16.36,38.22,47.96,78.27,38.98,61.55,62.26,57.98,48.54,40.19,41.07,29.4,34.52,56.7,58.58,53.57,62.35,106.31,124.14,129.49,153.73
371,TELF.O2 CZECH REPUBLIC DEAD - DELIST.25/02/22,CZ0009093209,5.61,7.81,5.5,4.06,4.02,5.35,9.63,11.7,14.34,18.11,13.28,18.95,20.07,19.34,18.53,17.03,11.39,57.23,62.27,89.89,77.65,79.01,100.98,110.88,110.88,110.88,110.88
441,EASTERN TOBACCO,EGS37091C013,74.32,77.16,43.87,27.42,43.76,51.07,132.13,283.32,265.14,381.36,156.9,241.02,203.72,175.56,185.2,249.17,407.09,281.99,351.37,886.84,793.82,832.29,953.48,780.49,768.65,1575.57,1246.78
442,ALEXANDRIA MRL.OILS,EGS380P1C010,,,,,,,,20.04,16.31,19.28,11.39,11.92,16.07,27.82,25.16,24.8,23.02,10.51,19.27,33.58,22.66,17.35,16.1,19.15,21.88,30.1,16.33
443,SIDI KERIR PETROCHEM.,EGS380S1C017,,,,,,,,28.99,22.07,27.91,11.5,18.68,21.8,24.51,24.12,34.95,31.16,23.16,21.5,29.66,22.42,14.72,17.63,15.05,15.0,47.28,19.42
444,EZZ STEEL,EGS3C251C013,,24.32,9.98,2.51,3.09,6.68,47.95,172.58,92.52,118.51,38.69,122.99,97.5,35.51,59.3,94.52,77.55,36.1,38.99,48.15,45.12,21.31,26.94,34.66,30.84,106.86,108.94
445,EL EZZ ALDK.STEEL ALEXA.,EGS3D041C017,27.37,20.77,18.61,6.62,11.84,8.46,59.3,216.75,145.52,204.97,151.73,199.84,157.5,108.35,125.9,191.14,138.05,61.83,48.83,94.86,125.55,81.68,100.47,103.13,106.52,177.43,104.72
446,ELSWEDY ELECTRIC,EGS3G0Z1C014,,,,,,,,,20.58,63.29,27.43,45.03,32.86,23.74,19.66,27.48,39.94,27.41,31.16,64.6,78.56,56.82,58.37,55.57,37.16,98.96,154.84
447,TELECOM EGYPT,EGS48031C016,,,,,,,,13.05,10.29,18.4,12.42,18.26,15.46,15.06,14.75,16.01,13.12,6.53,5.94,7.44,8.56,8.48,7.96,12.23,10.37,15.13,8.73
448,QATAR NATIONAL BANK,EGS60081C014,16.03,14.0,10.12,8.47,10.46,16.36,33.16,80.57,88.09,125.85,44.56,115.32,174.92,122.29,170.19,162.74,184.25,177.26,116.11,177.39,174.05,242.04,191.9,207.19,114.65,249.34,116.96
449,COML.INBLK.EGY. (CIB),EGS60121C018,33.36,44.63,37.21,22.38,30.87,39.46,83.1,116.9,156.93,282.9,146.19,299.95,336.09,210.43,310.21,436.37,676.83,487.73,495.31,532.98,583.77,847.01,639.28,701.12,549.73,872.68,509.73
450,GB CORP,EGS673T1C012,,,,,,,,,,221.21,42.06,100.32,137.16,78.66,90.03,129.34,109.06,51.94,26.35,43.89,44.07,33.61,36.54,57.12,27.43,46.95,60.62
451,EFG HERMES HDG.,EGS69101C011,,,,9.51,9.65,20.36,54.05,768.83,283.26,527.89,123.76,300.04,252.96,133.96,116.19,137.64,190.19,88.04,126.37,122.53,129.91,141.62,139.99,160.72,120.04,147.53,106.53
711,LAMPRELL DEAD - DELIST.25/10/22,GB00B1CL5249,,,,,,,,,257.41,370.83,59.95,165.72,273.26,328.18,138.13,152.4,129.6,88.64,84.74,83.22,54.48,30.94,68.05,35.28,35.28,35.28,35.28
796,NATIONAL BK.OF GREECE,GRS003003035,4624.67,3983.78,3115.44,2052.8,1234.93,2966.12,4692.57,6860.77,8364.05,10264.9,2775.3,4226.52,2319.85,817.11,341.66,203.25,50.37,0.8,0.71,1.23,1.23,0.95,0.7,1.16,1.44,2.26,2.57
797,BANK OF GREECE,GRS004013009,1875.08,6915.4,3158.73,3420.55,4048.9,8175.74,8712.04,12246.93,13348.55,13675.15,6353.17,8613.31,7217.77,2894.87,3650.46,3520.94,2065.78,1939.84,2696.27,4925.86,3602.85,4406.82,4964.9,5898.4,5420.22,4500.06,4658.98
798,HELLENIC TELECOM.ORG.,GRS260333000,282.11,224.08,155.43,163.49,131.49,178.49,213.86,272.43,365.45,379.63,189.77,191.11,146.19,54.77,118.24,217.85,126.17,126.68,135.08,227.8,194.46,241.23,251.29,353.39,292.38,267.51,304.48
799,HELLENIQ ENERGY HOLDINGS,GRS298343005,149.24,256.27,175.83,117.88,112.57,205.02,239.26,337.03,332.15,352.75,181.14,330.08,297.74,237.39,385.6,337.61,153.37,156.9,171.89,407.46,360.74,386.05,321.38,374.87,453.55,495.49,531.22
800,MIG HOLIDINGS,GRS314003013,403.99,2935.97,967.68,869.38,430.89,485.11,373.9,1011.12,2244.99,1247.92,675.45,575.28,229.51,142.88,138.98,128.6,39.94,16.93,35.21,44.61,17.71,25.63,8.42,8.65,17.35,37.56,21.17
801,GREEK ORGANISATION OF FOOTBALL PROGNOSTICS,GRS419003009,,,,142.64,190.16,340.7,606.38,929.09,958.84,952.57,845.94,707.63,801.93,394.64,422.43,699.39,502.38,439.63,617.01,1066.59,816.27,1203.29,1248.75,1587.16,1700.98,2195.14,2306.03
802,PUBLIC POWER,GRS434003000,,,,88.15,122.39,213.11,251.81,194.65,258.97,429.86,154.48,170.15,178.55,55.94,97.05,155.73,64.65,44.76,32.7,95.73,36.31,110.0,205.84,242.81,198.61,326.58,328.04
828,CITIC,HK0267001375,83.14,227.42,191.6,100.33,104.92,171.64,182.18,205.34,259.45,405.56,93.26,180.39,225.05,167.32,142.02,116.15,162.56,132.61,144.67,159.14,159.53,123.69,91.79,137.56,157.19,136.26,174.87
840,CNOOC,HK0883013259,,,,15.11,19.1,31.03,43.0,72.37,73.9,136.65,79.56,140.51,228.26,221.38,219.6,173.67,152.65,117.84,157.33,214.28,233.1,220.72,166.18,202.52,292.7,406.09,564.31
841,CHINA MOBILE,HK0941009539,16.63,60.67,61.07,27.1,22.36,31.49,30.28,50.03,99.07,161.54,97.16,110.75,117.72,127.05,140.86,127.82,186.24,157.7,166.85,163.73,175.65,142.05,114.23,132.12,155.37,195.81,239.86
842,LENOVO GROUP,HK0992009065,20.37,174.32,193.62,102.14,84.18,112.62,65.67,102.35,109.33,180.61,47.96,185.09,159.55,220.04,298.77,374.14,387.95,287.23,207.78,187.44,269.49,251.38,501.62,448.82,357.06,469.73,604.79
845,OTP BANK,HU0000061726,5.12,5.95,5.42,6.99,9.7,14.21,32.38,36.45,48.29,46.72,11.14,33.0,32.58,20.89,24.88,21.14,16.09,26.05,39.36,59.7,55.11,63.86,63.51,77.86,43.07,69.44,89.9
846,MAGYAR TKOM.TELECOM.,HU0000073507,0.84,1.06,0.61,0.5,0.5,0.57,0.74,0.82,0.92,0.97,0.53,0.9,0.75,0.73,0.63,0.63,0.63,0.51,0.68,0.75,0.72,0.67,0.63,0.66,0.56,1.2,2.03
847,RICHTER GEDEON,HU0000123096,2.75,4.28,3.46,4.15,3.98,8.48,9.2,15.05,13.83,15.93,8.65,15.63,16.47,13.42,13.61,15.69,11.13,15.71,18.3,21.66,18.09,18.69,24.52,23.81,21.54,26.44,26.44
848,MOL MAGYAR OLAJ-ES GAZIPARI,HU0000153937,2.59,1.91,1.77,1.87,2.25,3.1,6.54,10.39,10.53,13.96,4.49,10.32,12.47,9.54,9.68,6.86,4.95,5.86,8.93,12.81,13.01,9.67,8.73,10.3,10.31,12.22,11.71
849,MEDCO ENERGI INTL.,ID1000053705,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,INDOFOOD SUKSES MAKMUR,ID1000057003,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,ICT.TUNGGAL PRAKARSA,ID1000061302,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,ASTRA AGRO LESTARI,ID1000066004,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,GUDANG GARAM,ID1000068604,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,BANK PAN INDONESIA,ID1000092703,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,BUKIT ASAM,ID1000094006,,,,,,,,,,,,,0.53,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.51,0.51,0.51,0.51,0.57,0.54,0.63
856,BANK DANAMON INDONESIA SERIES A,ID1000094204,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,BANK MANDIRI,ID1000095003,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,UNILEVER INDONESIA,ID1000095706,,,,,,,,,,,,0.86,1.22,1.68,1.73,1.83,2.3,2.25,2.61,3.49,3.12,2.55,2.29,1.34,1.55,1.02,0.51
859,BANK NEGARA INDONESIA,ID1000096605,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,INDOSAT,ID1000097405,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,BANK MAYBANK INDONESIA,ID1000099302,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,GLOBAL MEDIACOM,ID1000105604,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,ANEKA TAMBANG,ID1000106602,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,SEMEN INDONESIA (PERSERO),ID1000106800,,,,,,,,,,,,0.57,0.63,0.91,1.2,0.86,0.88,0.62,0.57,0.67,0.78,0.76,0.69,0.69,0.69,0.69,0.69
865,INDO TAMBANGRAYA MEGAH,ID1000108509,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,LIPPO KARAWACI,ID1000108905,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,VALE INDONESIA,ID1000109309,,,,,,,,,,1.15,1.15,1.15,0.76,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.68,0.54,0.81,0.81,0.81
868,BANK CENTRAL ASIA,ID1000109507,,,,,,,,,,,,,0.59,0.83,0.95,0.76,1.01,0.92,1.13,1.76,2.02,2.37,2.51,2.86,3.04,3.4,3.21
869,BAKRIE & BROTHERS,ID1000110000,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,PERUSAHAAN GAS NEGARA,ID1000111602,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,BANK RAKYAT INDONESIA,ID1000118201,,,,,,,,,,,,,,,,,,,,,,0.54,0.54,0.52,0.59,0.76,0.56
872,ASTRA INTERNATIONAL,ID1000122807,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,KALBE FARMA,ID1000125107,,,,,,,,,,,,,0.73,0.9,1.33,1.37,1.76,1.18,1.38,1.56,1.49,1.4,1.45,1.6,2.06,1.39,1.06
874,TELEKOMUNIKASI INDONESIA (PERSERO),ID1000129000,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,HOUSING DEVELOPMENT FINANCE CORPORATION,INE001A01036,22.93,35.02,54.74,60.4,73.52,138.31,176.23,310.22,405.69,792.08,305.59,557.77,729.68,762.7,813.35,710.19,1174.02,1004.28,1218.42,1761.41,1647.49,1914.7,2226.59,2152.4,1985.93,1985.93,1985.93
913,RELIANCE INDUSTRIES,INE002A01018,7.98,21.69,23.88,17.63,17.09,36.58,36.76,64.21,126.12,263.58,107.25,183.31,167.61,141.21,142.38,112.15,126.82,128.69,136.65,251.01,313.74,349.42,481.13,582.4,519.35,712.82,581.37
914,SIEMENS,INE003A01024,5.64,15.26,9.65,6.49,10.22,31.11,51.17,159.46,215.21,333.14,67.23,231.14,308.33,248.95,203.85,148.67,303.26,262.35,307.07,359.95,259.83,363.68,451.93,592.81,649.75,918.32,1098.79
915,IDBI BANK,INE008A01015,0.87,1.0,1.29,0.64,1.03,3.63,6.21,4.86,5.86,7.55,3.03,6.97,8.51,5.78,6.02,2.83,3.8,2.89,4.05,3.02,2.44,1.63,1.36,2.17,2.02,3.53,3.06
916,INFOSYS,INE009A01021,265.47,1727.4,1512.77,810.02,955.47,1200.99,2041.14,2751.95,4486.52,3562.9,2351.63,4807.77,6282.92,5270.62,4992.54,5646.0,6889.81,7066.05,5801.6,7676.52,9514.67,9894.44,16419.48,22945.99,18918.6,20582.63,22219.39
917,ACC,INE012A01025,16.16,34.5,31.8,26.98,24.91,46.26,68.0,113.75,202.46,169.84,92.01,176.99,208.87,251.89,251.05,166.43,262.76,201.62,233.4,291.15,222.87,231.26,277.01,356.0,265.89,359.53,273.08
918,RELIANCE CAPITAL DEAD - DELIST.13/02/25,INE013A01015,8.71,32.04,22.16,12.64,13.37,37.93,43.85,138.47,201.66,673.43,107.79,227.62,150.35,105.34,129.53,74.84,119.41,81.54,110.23,129.77,51.83,2.27,2.69,4.23,2.4,3.09,3.09
919,DABUR INDIA,INE016A01026,3.49,9.08,3.73,3.65,2.68,5.25,6.97,15.44,20.54,22.5,16.62,33.48,39.07,38.02,48.99,52.89,84.19,71.14,82.08,109.39,131.53,145.51,151.69,158.07,144.5,142.07,133.87
920,LARSEN & TOUBRO,INE018A01030,6.19,14.22,8.66,6.36,6.45,18.55,38.96,88.33,134.54,336.95,96.74,218.03,250.62,203.14,213.73,176.39,319.8,190.16,255.47,391.29,333.3,327.72,394.66,507.49,506.21,798.62,745.76
921,JSW STEEL,INE019A01038,0.75,1.32,1.23,1.23,1.18,2.55,3.7,2.48,6.27,16.18,2.5,13.15,12.83,9.14,10.66,8.93,10.67,9.9,19.38,31.8,26.55,24.65,37.67,62.89,65.12,73.38,79.76
922,ASIAN PAINTS,INE021A01026,8.95,16.89,14.86,15.2,18.87,30.56,35.54,66.54,82.57,139.74,75.67,196.56,266.8,298.89,427.13,378.62,666.81,668.31,761.07,929.58,1077.48,1389.94,1804.1,2296.84,1782.57,1933.26,1451.75
923,BANK OF BARODA,INE028A01039,1.36,1.88,1.75,1.34,2.73,9.11,9.52,10.5,11.46,21.7,10.95,27.32,42.72,35.48,38.61,21.1,38.27,22.93,33.96,31.04,20.23,15.63,13.28,18.97,25.06,42.34,33.72
924,BHARAT PETROLEUM (NSE),INE029A01011,1.54,3.06,2.62,3.57,3.18,8.44,8.66,8.6,7.18,9.11,7.33,11.65,12.62,11.6,15.96,11.84,25.82,27.79,47.17,53.12,35.92,51.26,47.14,51.83,42.33,74.64,66.72
925,HINDUSTAN UNILEVER,INE030A01027,64.54,80.8,63.87,68.35,54.75,67.29,64.24,76.65,84.74,98.8,102.98,101.09,121.68,163.88,186.06,197.2,324.91,265.46,288.32,500.11,597.21,731.67,745.15,768.36,804.33,753.45,728.72
926,RELIANCE INFRASTRUCTURE,INE036A01016,6.74,9.65,9.54,8.59,9.73,25.38,27.97,29.59,26.37,112.55,23.59,49.66,33.71,25.74,22.49,13.64,19.98,16.16,19.47,17.73,9.67,0.72,1.04,3.8,3.81,6.9,6.92
927,HINDALCO INDUSTRIES,INE038A01020,10.99,19.44,16.89,15.31,13.07,27.22,33.89,43.72,49.21,53.9,12.58,44.1,69.99,44.17,29.71,23.32,33.37,14.53,41.59,56.81,43.42,37.56,51.85,102.44,85.26,106.64,100.34
928,HDFC BANK,INE040A01034,3.38,14.88,14.55,12.51,13.62,21.05,35.89,47.07,70.95,113.72,52.03,98.51,128.44,147.96,177.18,148.35,261.75,233.86,292.98,465.44,451.62,519.37,664.36,638.27,615.9,556.86,622.84
929,SUZLON ENERGY,INE040H01021,,,,,,,,4.9,5.44,8.09,0.9,1.64,1.05,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.64,0.7
930,IDFC DEAD - DELIST.11/10/24,INE043D01016,,,,,,,,2.27,3.33,7.73,1.73,4.81,4.72,4.14,4.97,2.32,4.65,2.03,2.72,2.79,1.87,1.83,2.25,3.41,4.15,6.2,6.2
931,SUN PHARM.INDUSTRIES,INE044A01036,2.61,19.28,14.59,14.74,14.01,31.49,52.96,78.97,112.47,146.91,111.36,172.4,253.84,295.54,363.81,511.91,812.47,666.93,517.12,470.72,325.85,323.34,465.7,671.12,699.22,984.88,1160.92
932,GRASIM INDUSTRIES,INE047A01021,3.21,7.58,6.52,5.4,6.45,23.39,29.66,33.34,62.99,76.82,24.81,58.15,56.83,63.39,66.64,47.54,73.51,60.73,85.19,130.46,75.11,82.24,123.35,180.77,148.95,199.4,220.1
933,INDIAN HOTELS,INE053A01029,29.55,22.75,19.91,10.7,14.56,39.58,52.65,121.03,152.05,151.07,39.17,95.41,99.58,69.79,58.63,47.27,109.96,91.28,91.59,120.88,121.44,119.31,102.76,183.67,243.84,380.93,593.17
934,CIPLA,INE059A01026,94.07,347.73,298.04,274.99,208.87,325.24,406.96,694.92,894.16,796.37,631.96,1100.73,1166.86,1140.22,1290.23,1095.21,1879.89,1415.98,1458.67,1531.64,1240.79,1063.36,1941.96,2205.25,2173.89,2949.88,2886.04
935,STATE BANK OF INDIA,INE062A01020,22.67,35.45,31.94,28.28,40.31,89.53,103.98,138.75,193.25,429.28,175.76,341.47,456.33,345.49,378.24,201.85,428.85,217.73,358.9,414.55,356.34,373.25,407.77,650.11,588.27,731.12,828.1
936,CG POWER AND INDUSTRIAL SOLUTIONS,INE067A01029,2.62,2.91,1.72,1.24,2.93,8.78,22.35,64.11,100.23,174.32,57.82,204.35,228.42,115.68,78.72,71.09,119.34,98.79,116.14,157.91,62.71,14.35,66.11,276.26,438.19,638.81,796.36
937,WIPRO,INE075A01022,702.49,4649.43,2767.27,1512.53,1393.05,1576.71,2212.04,3362.71,4147.4,3227.68,1310.09,4160.38,4754.53,4355.69,3908.94,5343.1,6086.1,5134.92,4184.77,5828.55,6492.75,5549.79,9812.53,13153.76,8431.8,9880.52,12439.7
938,AMBUJA CEMENTS,INE079A01024,59.61,137.72,88.45,100.7,77.03,151.33,253.58,358.99,615.84,588.79,285.55,452.99,555.24,739.55,814.24,550.26,915.49,669.15,804.59,959.27,711.78,676.66,979.25,1317.89,1136.64,1791.56,1518.06
939,TATA STEEL (NSE),INE081A01020,3.45,4.39,4.31,3.02,4.89,14.2,21.71,23.19,27.37,59.79,10.97,40.17,45.16,32.49,26.04,19.5,22.53,12.73,27.06,45.41,29.42,27.71,40.87,74.14,73.05,86.42,79.68
940,BANK OF INDIA,INE084A01016,0.84,0.79,0.63,0.78,1.87,3.5,5.08,7.31,12.11,25.45,13.77,22.55,28.83,21.43,20.43,9.47,14.41,4.75,6.22,7.71,4.45,3.05,2.45,2.58,3.3,6.55,4.37
941,ICICI BANK,INE090A01021,1.11,8.06,6.88,3.92,6.55,14.48,19.28,30.51,50.65,72.79,19.15,43.76,55.53,46.59,57.06,40.5,76.12,42.14,58.93,80.59,77.01,112.14,131.29,169.21,163.43,194.9,228.75
942,HINDUSTAN PETROLEUM,INE094A01015,1.55,1.99,2.09,2.04,3.56,5.94,5.35,4.64,4.72,4.84,4.31,5.67,5.7,4.57,5.17,3.31,8.95,10.48,23.2,26.29,15.47,15.66,15.93,21.93,16.72,35.18,35.31
943,MAHINDRA & MAHINDRA,INE101A01026,8.64,25.16,7.31,5.49,4.85,22.04,30.97,64.78,107.32,89.59,32.1,120.44,170.17,160.5,190.86,164.1,236.03,210.8,224.7,290.65,235.37,193.61,277.89,291.58,417.25,513.11,939.28
944,MNGL.REF.& PETROCHEM.,INE103A01014,0.63,0.75,0.75,0.75,0.75,2.67,2.63,2.24,2.31,4.81,1.81,4.11,3.6,3.08,2.96,1.75,2.32,2.3,3.94,4.87,2.62,1.69,1.31,1.74,1.87,6.53,3.99
945,CONTAINER CORP.OF INDIA,INE111A01025,6.3,6.66,4.25,5.8,6.15,20.33,25.67,41.03,62.37,62.41,41.16,72.89,75.31,56.58,50.82,52.12,102.99,78.76,82.53,122.99,110.31,116.13,96.44,138.71,116.92,178.17,134.37
946,STEEL AUTHORITY OF INDIA,INE114A01011,,,,,,1.66,2.54,2.23,4.74,10.77,3.01,8.89,7.0,4.32,3.36,2.1,2.67,1.3,2.21,2.94,1.46,1.44,1.91,3.4,2.79,4.06,3.13
947,ABB INDIA,INE117A01022,44.28,21.93,21.52,17.4,23.27,58.72,94.07,223.06,341.44,583.81,186.87,354.13,311.74,356.59,248.71,188.7,420.43,308.98,340.96,545.36,372.7,423.13,465.16,723.18,814.0,1280.11,1419.21
948,GAIL (INDIA),INE129A01019,1.59,1.54,1.37,1.77,1.93,6.72,7.79,9.53,10.2,16.85,10.15,21.46,25.56,20.4,16.92,15.74,19.28,15.03,20.64,29.01,24.95,17.57,20.92,24.06,22.07,43.01,41.3
949,POWER FINANCE,INE134E01011,,,,,,,,,,5.71,3.36,6.82,7.05,4.77,5.2,2.91,7.35,3.93,6.51,6.12,5.27,5.75,6.38,7.23,8.24,35.33,29.69
950,NATIONAL ALUMINIUM,INE139A01034,0.98,3.8,2.41,3.03,5.0,8.99,11.65,19.88,15.74,32.16,11.88,26.02,28.18,16.11,11.87,7.18,10.44,7.38,16.8,17.46,14.35,11.26,14.0,33.6,22.67,44.55,54.61
951,PIRAMAL ENTERPRISES DEAD - DELIST.24/09/25,INE140A01024,20.57,36.53,19.16,12.5,13.29,45.23,92.57,80.71,89.73,120.1,74.99,143.73,174.86,155.86,200.96,169.47,285.6,303.07,546.38,921.01,680.24,438.52,485.7,805.4,462.12,515.29,544.82
952,TATA COMMUNICATIONS,INE151A01013,6.07,16.51,9.01,5.57,3.53,7.52,10.8,17.81,24.57,29.08,19.15,14.98,11.3,10.54,9.73,9.75,15.32,14.01,26.59,23.01,16.85,21.97,52.9,69.71,60.0,84.32,74.33
953,THERMAX,INE152A01029,1.97,1.71,1.12,0.84,1.85,5.32,8.59,18.44,31.72,52.78,11.21,48.65,52.46,37.28,40.23,37.26,68.98,44.22,45.69,72.71,58.97,55.9,54.95,107.96,92.92,147.4,162.32
954,ITC,INE154A01025,109.32,96.47,115.39,86.93,83.85,141.86,195.17,343.85,397.73,526.68,375.94,555.41,758.38,901.69,1319.56,1176.89,1367.04,1141.58,1495.52,1603.17,1497.4,1127.3,1217.3,1328.67,2067.9,2470.64,2655.63
955,TATA MOTORS PASSENGER VEHICLES,INE155A01022,6.9,6.25,2.99,4.01,5.05,18.04,17.88,26.31,34.49,32.66,5.33,28.21,45.58,47.74,51.33,52.38,93.9,48.05,78.17,59.38,25.26,22.77,43.75,67.08,53.66,105.39,78.89
956,HERO MOTOCORP,INE158A01026,198.81,349.66,263.49,493.06,417.21,865.19,1083.43,1781.65,1531.0,1789.42,1775.01,3401.15,3538.5,4502.85,3909.84,3709.46,5628.97,4604.09,6092.22,7370.96,5271.32,4600.72,6472.23,5346.64,4962.11,9040.79,8045.11
957,GLAXOSMITHKLINE PHARMS.,INE159A01016,35.66,36.0,22.98,17.53,16.06,35.42,41.87,79.06,75.41,62.46,70.64,102.74,155.12,127.4,125.2,158.76,185.81,166.06,139.91,136.79,141.96,168.84,149.84,160.61,121.85,230.63,191.53
958,PUNJAB NATIONAL BANK,INE160A01022,,,,,4.49,16.82,27.64,30.96,35.75,51.3,25.52,61.83,79.63,66.58,59.77,32.13,57.86,25.16,40.42,48.27,19.81,15.36,9.48,10.93,12.07,29.91,22.57
959,HOUSING DEV.&.INFR.,INE191I01012,,,,,,,,,,4.69,4.69,1.83,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
960,VEDANTA,INE205A01025,7.87,6.36,5.8,2.96,4.41,41.39,104.13,153.51,286.24,532.56,228.78,1092.38,995.19,690.3,509.36,440.33,482.45,150.95,614.39,889.89,450.71,376.64,540.35,1153.31,1287.87,1321.05,2045.63
961,ASHOK LEYLAND,INE208A01029,1.08,3.55,1.41,2.23,3.08,8.14,9.14,13.48,19.57,16.39,5.55,21.94,25.22,23.39,20.64,11.66,49.1,61.64,65.83,90.63,56.68,55.06,92.26,91.58,95.27,109.79,126.94
962,OIL & NATURAL GAS,INE213A01029,0.86,1.31,0.91,0.96,2.49,5.44,6.66,9.85,11.73,15.65,8.0,15.04,16.87,15.04,17.26,12.19,16.59,9.67,14.03,14.62,9.86,7.54,7.16,13.81,11.44,21.55,20.77
