NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GUANGSHEN RAILWAY 'H',CNE100000379,138.52,150.85,205.55,245.9,256.9,395.76,555.09,544.33,883.68,927.05,459.57,589.68,597.41,524.08,627.32,619.39,710.74,606.37,900.17,938.78,587.34,392.48,256.67,251.61,253.69,272.71,374.7
HARBIN ELECTRIC 'H',CNE1000003C0,22.7,24.42,21.05,60.15,49.32,117.05,112.48,390.11,619.44,1542.31,458.23,558.4,871.1,667.18,611.34,375.01,473.14,233.3,345.65,286.76,360.73,176.55,187.38,223.65,340.27,193.51,266.15
HUADIAN POWER INTERNATIONAL 'H',CNE1000003D8,,167.38,218.36,333.92,322.9,501.51,431.15,424.32,531.57,484.54,308.17,385.06,299.57,326.56,601.37,597.16,1280.94,828.55,601.23,539.74,665.64,475.3,367.39,523.32,569.32,671.59,705.18
INDL&COML.BOC.'H',CNE1000003G1,,,,,,,,,48086.97,54115.1,35236.49,60951.86,65543.28,62105.32,65675.85,53768.64,61570.57,43567.07,52908.27,82006.63,66586.73,58773.04,54978.73,52454.26,45708.2,42064.52,58809.26
JIANGSU EXPRESSWAY 'H',CNE1000003J5,225.49,155.49,200.56,272.61,407.33,585.41,544.42,811.32,879.68,1198.99,860.37,1124.9,1330.85,1228.89,1260.2,1542.38,1492.6,1499.76,1551.25,1896.73,1753.52,1568.44,1425.16,1274.77,1209.17,1165.73,1351.76
JIANGXI COPPER 'H',CNE1000003K3,44.77,139.73,106.77,157.17,173.47,602.37,619.02,849.64,1420.0,2576.78,933.94,2826.0,4588.45,3658.19,3747.05,2508.93,2265.59,1321.67,2421.13,2465.8,1796.48,1634.37,2455.87,2243.2,2420.29,1933.93,2161.57
MAANSHAN IRON & STL.'H',CNE1000003R8,58.14,89.09,79.99,151.08,151.08,534.88,627.64,619.95,1103.2,946.83,558.66,1004.0,977.03,621.11,516.03,421.83,458.2,311.46,638.73,1021.4,828.16,604.58,485.14,675.97,437.52,250.41,378.05
PETROCHINA 'H',CNE1000003W8,,,2998.49,3201.0,3719.37,8479.61,9749.32,20808.19,26025.65,31011.69,15508.06,24013.22,30240.23,31609.09,30189.82,20407.69,22968.0,12378.49,16559.61,17075.69,13632.28,9180.76,6369.41,10477.09,11326.51,15459.7,16083.04
PING AN INSURANCE (GROUP) OF CHINA 'H',CNE1000003X6,,,,,,,4231.65,5673.5,11995.17,18311.55,10772.48,20143.96,28608.73,25905.27,28584.1,25354.31,38759.6,32555.46,37864.7,86364.83,72796.66,83988.86,87674.08,58197.22,57359.6,30285.1,41144.34
SHANGHAI ELEC.GP.CO.'H',CNE100000437,,,,,,,,1236.02,1488.93,2341.16,920.06,1331.99,1825.03,1441.17,1211.01,949.57,1752.34,1274.74,1340.98,1193.51,1057.03,864.95,1120.54,803.03,701.07,534.78,1002.03
SINOPEC SHANGHAI PETROCHEMICAL 'H',CNE1000004C8,174.39,326.43,230.05,292.75,400.28,966.39,881.23,1133.93,1137.09,1093.75,528.8,836.95,1439.34,880.18,883.04,990.29,1009.75,1381.94,2189.05,2140.41,1656.88,890.87,811.6,766.85,646.2,470.42,511.03
TSINGTAO BREWERY 'H',CNE1000004K1,31.33,106.99,82.72,88.05,222.34,484.0,432.93,878.28,1186.46,2268.46,1258.63,3120.52,3020.25,3526.06,3740.84,4804.8,4313.24,2417.78,2718.42,3605.58,2880.1,3638.91,6760.84,5883.76,6431.8,3811.41,4098.11
WEICHAI POWER 'H',CNE1000004L9,,,,,,,436.27,216.08,547.67,657.09,394.63,1471.0,2755.36,2186.76,2016.3,1851.86,1895.26,901.74,1697.79,2412.22,2659.42,3416.93,6028.66,3500.41,2968.2,3493.45,3286.39
YANKUANG ENERGY GROUP COMPANY 'H',CNE1000004Q8,128.33,135.47,228.88,385.78,438.08,885.46,1741.86,1489.59,1798.6,3345.7,1285.41,3832.52,5709.38,4701.4,3352.57,1473.02,1555.98,764.31,1532.05,3658.75,1850.79,1480.14,1492.78,4007.98,6226.46,5809.25,4252.0
ZHAOJIN MINING IND.'H',CNE1000004R6,,,,,,,,,447.98,913.95,400.25,838.64,1591.72,1679.64,1296.16,521.38,543.56,468.07,802.3,897.44,1115.15,1134.61,2878.44,2086.05,3217.72,2569.48,4538.47
ZHEJIANG EXPRESSWAY 'H',CNE1000004S4,214.63,197.2,231.66,338.25,579.06,922.02,1029.44,910.38,1101.98,1583.4,867.16,1281.16,4043.9,1051.87,1273.51,1289.01,1779.1,1222.26,1502.34,1732.41,1478.27,1190.61,1261.58,1229.0,1221.34,1442.27,1409.5
ZIJIN MINING GROUP 'H',CNE100000502,,,,,,273.02,351.76,1022.42,2101.48,4993.42,2179.65,3419.03,3148.2,2881.58,2315.74,1300.0,1846.09,1281.27,2003.65,3051.33,2171.39,2429.85,7475.24,7331.79,9553.84,8715.33,11312.87
COSCO SHIP.DEV.'H',CNE100000536,,,,,,,938.54,896.95,753.25,1534.68,580.43,1463.28,1777.6,967.22,1141.13,884.08,1146.61,707.87,792.8,824.88,444.56,383.32,592.8,674.5,515.61,357.25,476.45
GUANGZHOU R&F PROPS.'H',CNE100000569,,,,,,,,947.56,1898.65,3047.01,794.67,1479.66,1551.62,1038.0,1824.39,1346.81,1141.86,1100.05,1296.65,2881.67,2015.79,1963.62,4758.64,1665.91,1028.72,451.05,577.84
PICC PROPERTY & CLTY.'H',CNE100000593,,,,,,1577.85,1129.85,1158.4,1987.62,3603.65,1524.12,3194.73,4491.72,5214.97,5841.41,5706.51,8874.94,7522.72,6923.55,9750.18,7209.74,7434.17,5162.46,6409.34,6422.17,8540.17,11315.07
HUANENG POWER INTERNATIONAL 'H',CNE1000006Z4,361.96,316.19,721.26,990.42,1240.62,2544.28,2154.43,2146.69,2672.98,2652.95,2123.62,1813.45,1990.83,2177.34,3625.27,3306.11,5471.12,3861.94,3022.78,2986.79,2959.11,2178.41,1522.06,2472.79,2307.54,2566.54,2461.02
CEZ,CZ0005112300,934.89,1771.86,1725.69,1295.91,1789.11,3327.82,9035.44,20711.57,25430.96,40666.54,19615.04,26611.6,25392.03,22399.85,17614.69,13449.86,12849.61,8593.26,9241.03,14020.31,13629.83,11916.52,12955.13,20310.28,22597.93,20251.06,22696.54
TELF.O2 CZECH REPUBLIC DEAD - DELIST.25/02/22,CZ0009093209,4452.14,6197.15,4366.39,3160.6,3124.9,3458.54,5882.18,7148.5,7955.68,9223.04,6021.2,7740.94,7444.36,6476.42,5599.32,4576.93,2855.83,3140.74,3202.14,4287.23,3431.54,3200.75,3601.77,3662.36,3736.74,3508.4,3318.04
EASTERN TOBACCO,EGS37091C013,761.8,736.37,376.33,206.1,292.33,314.27,774.76,1597.67,1446.88,2024.61,782.89,1164.08,941.02,762.38,744.58,927.31,1441.02,945.65,1111.73,2702.63,2136.74,2101.99,2130.6,1517.17,1324.89,2352.68,1692.49
ALEXANDRIA MRL.OILS,EGS380P1C010,,,,,,,,1487.33,1125.94,1201.61,631.82,607.3,721.28,1099.77,893.03,785.61,663.86,260.06,413.72,675.58,421.49,297.35,275.78,316.3,315.62,408.35,203.19
SIDI KERIR PETROCHEM.,EGS380S1C017,,,,,,,,2475.23,1787.76,2077.33,779.38,1075.3,1149.04,1165.94,1024.17,1323.52,1058.94,698.65,578.46,730.74,527.67,313.8,356.34,304.18,303.14,918.94,362.23
EZZ STEEL,EGS3C251C013,,239.91,89.23,22.46,27.67,59.7,428.74,1543.08,1754.44,2171.27,696.25,1863.79,1477.46,515.01,830.85,1324.3,1086.53,505.79,546.3,674.58,632.07,298.61,377.37,485.55,406.37,1408.09,1433.03
EL EZZ ALDK.STEEL ALEXA.,EGS3D041C017,503.64,382.2,342.55,121.75,248.07,177.36,1095.93,3547.23,2128.5,2640.45,1578.65,1973.02,1502.63,967.33,995.09,1381.83,937.43,419.86,331.58,644.13,718.44,457.14,507.85,521.31,492.8,820.89,484.51
ELSWEDY ELECTRIC,EGS3G0Z1C014,,,,,,,,,852.21,2620.25,1135.66,1838.82,1342.02,944.58,750.25,1019.92,1482.22,965.0,1002.85,1891.8,2210.13,1512.76,1428.36,1297.72,862.43,2243.84,3423.37
TELECOM EGYPT,EGS48031C016,,,,,,,,5203.73,3968.18,6797.58,4368.91,5928.27,4671.68,4204.19,3719.09,3658.6,2736.23,1336.43,1112.02,1272.2,1438.65,1400.42,1281.25,1844.98,1467.47,2037.99,1127.53
QATAR NATIONAL BANK,EGS60081C014,306.82,260.05,180.04,145.58,172.21,255.56,485.21,481.15,1438.06,2151.67,745.37,1827.59,2676.52,1810.33,2410.81,2208.33,2500.18,2405.39,1575.58,2407.09,2329.56,3169.47,2367.77,2556.45,1356.37,2834.04,1294.43
COML.INBLK.EGY. (CIB),EGS60121C018,726.05,889.56,677.92,367.9,447.04,518.73,1030.16,1395.05,1847.36,3271.94,1672.25,3326.04,3676.37,2245.47,3201.72,4337.28,6608.33,4711.26,4725.9,5087.69,5534.54,7970.76,5927.62,6501.03,5011.63,7928.87,4636.07
GB CORP,EGS673T1C012,,,,,,,,,,1426.84,271.26,647.09,860.66,476.98,519.25,712.83,601.05,364.67,185.0,308.14,309.39,235.96,256.55,375.11,164.19,281.04,356.23
EFG HERMES HDG.,EGS69101C011,,,,29.88,30.34,96.26,255.56,3635.11,2302.0,4206.32,967.57,2259.22,1726.21,913.98,792.74,938.29,1296.54,561.49,806.02,703.23,745.58,782.23,773.26,936.55,699.53,859.7,620.78
LAMPRELL DEAD - DELIST.25/10/22,GB00B1CL5249,,,,,,,,,1003.88,1429.24,224.78,609.59,985.7,1363.74,547.25,603.82,596.03,407.67,389.63,382.73,250.56,142.31,312.97,196.0,46.23,47.59,46.67
NATIONAL BK.OF GREECE,GRS003003035,10161.26,10185.61,8392.75,5236.1,3036.76,7044.67,10864.58,15762.03,24666.83,29708.65,7949.74,13677.81,10047.1,3538.83,1479.71,11080.7,4047.78,2502.68,2224.19,3849.93,1049.01,2951.42,2199.43,3634.2,4498.43,7041.38,7687.39
BANK OF GREECE,GRS004013009,384.42,1382.86,618.7,646.28,734.38,1430.87,1485.0,2028.41,2163.87,2152.94,966.63,1241.66,982.31,368.94,442.12,411.12,231.19,201.38,255.9,436.08,301.85,346.62,371.32,422.78,373.82,298.28,295.05
HELLENIC TELECOM.ORG.,GRS260333000,15273.28,11797.01,7978.77,8021.21,6168.62,7801.28,8810.37,11207.65,15021.26,15213.89,7243.09,6831.79,5076.3,1865.87,4027.9,7420.95,4297.76,4274.3,4502.48,7480.14,6177.61,7206.85,6875.24,9019.03,6836.96,5802.39,6189.2
HELLENIQ ENERGY HOLDINGS,GRS298343005,1896.4,3459.53,2340.06,1529.44,1424.4,2964.31,3368.73,4647.36,4409.66,4503.23,2168.21,3709.9,3118.92,2318.89,3486.95,2995.39,1338.21,1289.32,1403.77,3231.16,2705.91,2656.35,2014.63,2299.47,2571.43,2439.91,2332.8
MIG HOLIDINGS,GRS314003013,45.93,137.12,45.07,51.6,25.36,28.76,273.05,1394.23,3303.9,5880.8,2975.92,2184.67,808.44,503.28,489.54,452.98,171.14,72.7,151.28,191.64,76.07,110.12,36.16,37.15,74.52,161.37,90.93
GREEK ORGANISATION OF FOOTBALL PROGNOSTICS,GRS419003009,,,,2424.06,3013.56,5024.5,8448.5,12200.22,11911.83,11159.3,9068.44,6831.85,6774.92,3109.41,2778.73,4225.99,2894.77,2322.81,2851.02,4257.22,3116.9,4004.47,4262.91,5313.47,5525.55,6536.1,6252.18
PUBLIC POWER,GRS434003000,,,,2597.12,3514.08,5912.23,6763.35,5002.22,6485.42,10683.13,3822.58,4201.48,4036.59,1170.42,2030.42,3245.94,1347.38,923.05,674.44,917.6,348.01,1054.36,1972.96,3832.01,3134.51,5154.08,4898.1
CITIC,HK0267001375,3760.87,9948.07,8475.61,4253.36,4208.59,5971.15,6028.17,6474.92,7777.35,11383.48,4198.79,8070.45,9817.06,7132.99,5805.23,4559.24,42719.85,39885.12,42364.19,45301.23,43819.41,32581.4,22967.97,32474.1,34163.45,27490.28,32627.31
CNOOC,HK0883013259,,,,8583.01,10583.67,16321.42,21711.43,35196.32,36629.69,67083.9,38131.96,64756.74,102000.15,95782.21,92198.85,70153.69,59198.47,43274.84,55641.12,72267.86,75219.31,67133.95,47058.95,53621.95,65594.73,81969.97,106083.93
CHINA MOBILE,HK0941009539,20674.67,87731.78,119879.66,53193.98,46405.09,63501.82,60117.75,97074.25,188740.52,302168.28,177276.75,194873.34,199587.85,206647.38,220243.38,191815.43,274237.35,225403.21,231686.86,211785.94,216968.83,168173.37,127586.5,137931.66,148189.3,174240.59,201016.25
LENOVO GROUP,HK0992009065,640.17,5634.45,6469.31,3391.63,2741.08,3533.47,2012.31,3512.14,3692.74,6340.02,1662.94,6678.83,5922.49,8269.09,11020.12,13479.85,14585.8,10496.18,7172.53,6620.77,8957.22,7965.74,15084.5,12932.53,9820.23,12642.42,15663.97
OTP BANK,HU0000061726,1499.08,1716.29,1546.17,1967.29,2696.34,3951.27,8866.18,9745.75,12522.92,11941.51,2847.45,8434.39,8325.83,5276.04,6097.23,5058.47,3732.17,5883.54,8678.48,12873.49,11625.96,13226.87,13155.02,16127.24,8549.96,13422.82,16861.74
MAGYAR TKOM.TELECOM.,HU0000073507,6335.99,7981.22,4601.17,3718.77,3676.73,4146.34,4915.6,4994.96,5251.24,5151.83,2560.09,3822.0,2910.66,2578.85,2028.16,1391.4,1376.58,1446.11,1862.97,1949.47,1765.72,1546.15,1387.88,1389.3,1093.62,2120.65,3303.75
RICHTER GEDEON,HU0000123096,841.2,1273.56,1015.43,1200.31,1131.3,2366.18,2510.56,4035.46,3655.03,4132.39,2214.43,3925.57,4064.36,3233.27,3222.26,3645.61,2548.79,3570.95,4109.76,4789.16,3950.01,4001.59,5203.98,4918.82,4311.89,5060.21,4837.67
MOL MAGYAR OLAJ-ES GAZIPARI,HU0000153937,2765.29,2004.26,1836.62,1914.35,2281.11,3111.48,7202.76,11354.3,11405.62,14823.99,4344.32,9984.76,12066.79,9236.5,9113.73,6285.03,4341.43,4970.75,7162.36,9993.93,9715.95,6908.42,6236.24,7078.19,6388.99,6739.99,5929.82
MEDCO ENERGI INTL.,ID1000053705,53.87,404.26,348.95,468.0,506.85,551.57,952.39,1461.29,1257.42,1438.66,466.97,863.37,1209.82,848.02,540.86,647.98,827.53,169.21,374.36,1713.39,1285.71,880.21,1209.76,927.89,2255.17,1854.21,1644.14
INDOFOOD SUKSES MAKMUR,ID1000057003,993.63,1615.06,1054.62,709.42,605.24,948.96,884.19,929.18,1779.17,2897.62,715.86,3353.63,4623.32,4837.09,5366.56,4967.68,5260.64,4009.32,5211.37,5075.1,4897.26,4903.75,3959.8,3913.96,3894.54,3589.0,4073.67
ICT.TUNGGAL PRAKARSA,ID1000061302,926.0,926.2,403.21,371.19,279.95,1044.5,1352.65,1565.01,2088.61,3078.52,1399.02,5211.14,5978.27,7082.45,8130.09,6451.17,6645.65,5096.57,4273.28,5794.89,5241.92,4520.34,3799.34,2820.37,2560.53,2098.35,1282.33
ASTRA AGRO LESTARI,ID1000066004,332.37,316.77,146.22,164.48,301.12,301.29,509.49,933.66,2220.64,5481.46,1451.04,3835.91,3988.79,3725.48,3097.72,2785.39,2911.13,1898.32,2327.93,1860.08,1946.78,1596.61,1530.14,1320.44,1067.12,845.11,685.09
GUDANG GARAM,ID1000068604,2383.24,3873.4,3132.93,2161.69,1593.29,3366.61,3644.98,2232.76,2215.13,1671.76,972.26,4954.12,7870.4,12515.18,10327.03,6562.97,8642.09,8139.16,8934.17,11657.67,11456.19,7767.06,5357.27,4100.79,3271.47,2417.78,1273.16
BANK PAN INDONESIA,ID1000092703,100.3,345.5,101.15,153.09,280.32,596.97,752.57,798.77,1332.79,1322.62,921.27,1961.0,2933.13,2399.76,1616.11,1363.26,1991.95,1140.72,1490.69,2507.54,2385.47,1951.42,1699.65,1245.22,2627.27,1659.46,2639.76
BUKIT ASAM,ID1000094006,,,,,126.07,207.9,379.35,477.48,793.26,2852.79,1399.11,4061.77,5185.0,5219.09,3668.62,1741.27,2066.18,740.69,2001.72,2826.31,3570.25,1819.16,2045.38,2254.78,2647.89,1868.91,1871.62
BANK DANAMON INDONESIA SERIES A,ID1000094204,44.55,5115.31,2543.37,693.98,451.52,1306.57,2274.22,2462.08,3191.96,3787.96,933.36,4193.88,5542.67,5094.65,5945.72,3341.23,3437.21,2613.53,2998.89,4884.95,6228.3,2443.16,2062.79,1610.67,1801.21,1736.49,1489.49
BANK MANDIRI,ID1000095003,,,,,,3043.09,4188.61,3816.2,5849.44,7496.02,3128.51,10313.51,14055.84,17182.88,21355.93,16419.09,20486.76,16032.85,19030.12,27905.78,25187.94,25213.74,21329.41,24053.28,30194.54,39391.33,32608.43
UNILEVER INDONESIA,ID1000095706,260.11,1040.68,1170.46,1448.41,1650.47,3450.34,2948.99,3529.38,5169.6,5676.4,5119.06,9333.7,12898.51,17069.33,17203.74,17703.58,21759.14,20890.15,23742.82,31211.41,27367.26,21792.05,19040.98,10761.45,12126.97,7723.81,3667.6
BANK NEGARA INDONESIA,ID1000096605,135.63,5122.77,1308.85,1664.59,2132.31,1982.01,2362.07,1870.37,2636.43,2857.55,988.82,3117.94,6753.71,7434.43,8060.02,6440.64,9096.44,6595.79,8330.61,12764.23,12250.71,9571.97,7766.61,9483.43,11290.7,13618.9,10739.16
INDOSAT,ID1000097405,1317.91,1796.0,1002.97,1073.11,857.47,1977.1,3309.35,3256.38,3651.75,4190.16,2584.29,3018.85,3011.82,3282.24,4018.93,1815.75,1707.07,2163.65,2594.37,2282.4,1138.24,858.04,2082.52,3200.93,3210.45,4956.31,4395.61
BANK MAYBANK INDONESIA,ID1000099302,101.08,1216.96,388.66,224.68,239.83,621.41,1040.46,843.23,1211.14,1571.35,1430.07,1587.39,4508.92,2835.82,2318.05,1528.79,1078.59,803.59,1808.24,1505.74,1351.46,1096.71,1708.64,1606.08,1195.18,1174.34,917.04
GLOBAL MEDIACOM,ID1000105604,49.12,213.4,122.47,182.22,275.66,448.58,381.08,329.41,1375.74,1478.29,186.94,360.25,1114.32,1734.65,3120.73,2066.57,2059.55,824.69,632.7,770.55,404.86,363.77,316.9,288.77,320.98,273.27,178.6
ANEKA TAMBANG,ID1000106602,206.29,197.73,122.43,116.22,155.82,338.3,373.85,928.34,1639.3,4040.18,874.86,2089.08,2431.93,2016.52,1361.94,794.87,793.3,593.42,1511.76,1616.76,1654.92,1250.28,4146.48,2979.26,3795.18,2340.53,2017.79
SEMEN INDONESIA (PERSERO),ID1000106800,606.63,591.21,397.5,393.52,491.17,634.63,1220.53,1252.91,2417.83,3575.34,1813.46,5006.3,5391.69,7530.5,9718.31,6784.42,6780.21,4680.21,4131.3,4718.23,5414.53,5179.42,4631.02,2840.27,3323.59,2727.35,1133.81
INDO TAMBANGRAYA MEGAH,ID1000108509,,,,,,,,,,3313.38,940.4,3778.49,5937.08,4910.24,4782.01,2432.48,1465.29,396.25,1307.42,2486.4,1797.42,826.32,972.82,1678.26,2665.35,1892.53,1792.68
LIPPO KARAWACI,ID1000108905,47.7,84.19,17.58,23.91,15.58,26.27,482.15,564.61,653.32,1183.85,1204.9,942.75,1342.59,1832.79,2441.71,1772.3,2001.21,1770.34,1261.69,943.59,456.92,1176.26,935.2,671.57,400.23,362.24,431.38
VALE INDONESIA,ID1000109309,17.5,40.72,45.0,24.3,139.93,969.14,1292.75,1556.87,3590.52,9280.75,1983.05,3688.97,5424.73,4501.36,2857.91,1875.24,2663.26,1019.95,2113.4,2806.98,2694.36,2349.87,4179.99,3273.47,4958.15,2468.61,1821.29
BANK CENTRAL ASIA,ID1000109507,,,554.89,1071.6,1545.81,2765.71,3880.59,4757.69,7330.95,9505.87,5758.07,12451.97,15828.57,22115.02,24696.78,19592.56,25688.03,23360.77,28242.69,43503.88,49333.43,57191.35,59172.01,66301.9,69304.91,75606.58,69430.79
BAKRIE & BROTHERS,ID1000110000,55.04,63.53,11.16,8.44,65.49,229.06,147.66,374.99,528.89,908.04,397.97,871.13,685.69,524.17,481.36,382.85,369.42,342.36,363.31,422.02,74.5,75.91,74.38,73.69,105.38,511.12,369.31
PERUSAHAAN GAS NEGARA,ID1000111602,,,,,,842.89,1246.47,4016.16,4599.99,6666.0,4193.58,9582.65,11152.01,9151.57,11703.66,9486.67,9650.73,4241.71,5210.49,4433.26,4364.86,2998.77,2540.82,2296.25,2614.76,1757.25,2345.24
BANK RAKYAT INDONESIA,ID1000118201,,,,,,1981.99,3610.23,4242.93,6904.33,9143.3,4509.84,9850.65,13333.41,19395.91,20069.82,16560.99,22574.14,19671.77,21902.92,33951.58,34338.59,39630.39,37961.47,42533.62,46384.38,56059.62,38800.38
ASTRA INTERNATIONAL,ID1000122807,224.64,1183.53,640.23,635.98,1017.12,2487.82,4627.95,4524.63,6734.61,11783.42,4383.56,15570.59,21698.01,35343.78,30981.23,21002.48,24733.7,18115.92,24558.44,26183.43,24539.87,18485.3,17247.0,15508.23,16119.96,13768.15,11725.07
KALBE FARMA,ID1000125107,18.41,269.11,140.32,110.12,116.66,456.08,592.43,1137.89,1521.67,1356.71,409.69,1736.07,3264.87,3947.66,5685.7,5304.09,6780.9,4486.31,5178.12,5784.68,5430.65,5014.11,5080.22,5517.6,6930.46,4610.42,3422.58
TELEKOMUNIKASI INDONESIA (PERSERO),ID1000129000,3340.9,4825.17,3008.16,3636.61,3861.19,8997.33,10425.68,13691.53,21210.5,20362.5,10272.6,20030.74,17096.09,15559.7,19983.94,18282.32,22289.58,23823.73,29819.09,29974.28,27501.47,26959.6,23096.84,28771.67,25897.29,25244.01,15852.36
HOUSING DEVELOPMENT FINANCE CORPORATION,INE001A01036,671.26,960.46,1472.98,1613.09,1911.01,3520.21,4409.46,7669.86,9899.61,21585.64,8264.55,14984.18,19827.79,20571.28,22545.3,19621.75,32261.53,27401.56,32950.34,47473.8,47305.8,54770.24,65604.12,63229.36,58091.12,60823.21,57846.36
RELIANCE INDUSTRIES,INE002A01018,2755.27,7288.08,8958.24,6530.86,8227.65,17286.62,17131.47,22351.94,43435.15,93921.08,41174.41,72692.54,66087.56,55243.57,54263.15,42315.64,47490.7,47705.08,50214.62,89408.16,111141.69,123119.09,167322.62,215365.93,191567.81,237858.0,193362.12
SIEMENS,INE003A01024,116.94,367.85,227.74,140.14,216.77,651.38,1063.32,3297.26,4512.47,6968.52,1387.92,4735.12,6273.95,5070.67,4256.29,3114.57,6312.47,5405.42,6163.55,7186.18,5150.91,7174.82,8877.41,11606.02,12677.49,17874.65,21343.84
IDBI BANK,INE008A01015,548.01,564.51,444.02,189.75,285.06,971.75,1661.53,1408.62,1654.64,2102.87,818.48,1832.52,2964.58,1951.01,2542.9,1391.78,1865.43,1661.79,2527.32,2419.0,5724.56,5122.08,4428.36,7068.65,6568.2,11306.54,9614.96
INFOSYS,INE009A01021,1665.9,11178.62,9784.23,5214.76,6117.03,7650.64,12870.25,17573.18,28648.57,23158.42,14977.62,30268.33,38874.08,32047.76,29767.37,33077.4,39473.08,39527.87,31733.25,38777.8,46173.72,45609.66,73931.01,100081.01,80431.45,84515.99,88514.96
ACC,INE012A01025,333.4,759.95,694.75,580.74,526.74,967.37,1454.87,2480.25,4419.52,3603.85,1896.77,3544.06,4077.93,4769.92,4654.8,3006.38,4627.85,3483.88,3988.77,4923.54,3728.87,3834.19,4537.06,5787.55,4207.42,5660.03,4286.89
RELIANCE CAPITAL DEAD - DELIST.13/02/25,INE013A01015,96.36,338.67,229.44,139.08,139.3,375.76,423.13,2141.71,3668.76,12207.06,1944.48,4076.87,2670.6,1842.18,2193.79,1238.3,1944.53,1329.99,1766.48,1722.66,666.1,29.22,34.99,54.36,30.86,39.67,35.57
DABUR INDIA,INE016A01026,375.7,976.06,400.86,383.47,278.27,533.56,685.36,1488.4,1954.95,2115.32,1539.19,3077.02,3569.2,3437.77,4379.45,4684.1,7428.93,6240.89,7156.09,9470.38,11195.48,12310.93,12751.13,13167.98,11953.77,11638.53,10865.35
LARSEN & TOUBRO,INE018A01030,1055.76,2373.39,1415.88,1010.05,984.73,2755.19,2931.19,6808.5,10689.07,27631.31,7906.03,18141.82,20997.89,16961.69,17740.2,14475.82,26051.01,15373.95,20434.98,30959.95,26062.3,25318.02,29261.39,37221.1,36680.3,55963.24,51875.57
JSW STEEL,INE019A01038,88.48,155.03,144.33,58.56,152.75,329.31,477.46,671.89,1643.44,4312.54,752.21,3943.94,4547.68,3195.03,3685.9,3287.35,3895.52,3567.84,6952.96,11280.83,9271.0,8469.39,12822.44,21232.88,21274.23,24187.62,26134.72
ASIAN PAINTS,INE021A01026,230.33,423.53,362.81,360.82,435.46,683.17,771.23,1411.44,1712.38,2851.63,1521.09,3892.93,5225.29,5791.67,8191.77,7189.49,12529.34,12453.21,14072.77,17035.91,19607.11,25112.24,32387.68,40974.24,31568.55,33951.22,25203.86
BANK OF BARODA,INE028A01039,300.2,397.34,334.88,238.89,458.41,1408.03,1438.96,1921.09,2044.48,3778.72,1836.04,4488.0,6868.95,6014.77,6709.06,3637.11,6519.48,4099.93,6072.3,5509.66,4122.98,5563.78,4727.35,7559.42,9694.01,15917.63,12335.64
BHARAT PETROLEUM (NSE),INE029A01011,727.98,1377.81,1105.16,1445.27,1230.16,3077.85,3019.7,2940.24,2888.48,3546.98,2821.76,4425.1,4704.21,4234.35,5745.65,4111.23,8750.29,9045.23,15058.07,16155.43,10376.5,13996.94,11887.5,11040.35,8741.29,14559.74,12416.87
HINDUSTAN UNILEVER,INE030A01027,9785.61,12157.59,9487.1,9946.66,7765.43,9134.58,8351.03,9643.52,10457.36,11502.85,11666.87,11163.27,13120.4,17176.67,18894.27,19653.99,31749.98,25470.31,27139.29,46357.95,54635.83,66122.54,71824.28,73084.07,75332.96,69490.73,65802.69
RELIANCE INFRASTRUCTURE,INE036A01016,482.88,676.15,657.24,580.32,644.64,1815.8,2409.24,2759.84,2764.48,12101.6,2418.1,5042.67,4012.33,2969.3,2554.99,1517.72,2198.84,1739.01,2063.23,1846.14,985.37,73.42,106.33,386.23,518.59,1059.03,1062.11
HINDALCO INDUSTRIES,INE038A01020,824.94,1445.44,1247.43,1114.23,923.7,2371.82,2908.92,4353.16,4839.15,5537.75,1604.29,6253.9,9851.71,6153.83,4078.25,3406.8,4848.27,2082.49,5924.72,8754.65,6645.74,5709.76,7841.73,15379.33,12673.82,15737.84,14723.74
HDFC BANK,INE040A01034,260.25,1119.78,1322.42,1303.92,1407.27,2169.58,3988.39,5235.51,7910.38,14140.77,7725.8,15584.78,20574.98,23715.55,28550.6,23946.91,42288.08,39162.1,49287.03,78811.29,79775.89,91605.6,117830.73,113411.92,108824.61,132458.66,147223.77
SUZLON ENERGY,INE040H01021,,,,,,,,7181.77,7953.89,12224.97,1361.25,2565.08,1871.83,1068.48,840.4,438.55,879.31,1247.11,1200.01,1129.24,365.66,178.97,799.03,1447.87,1127.68,7968.19,8823.32
IDFC DEAD - DELIST.11/10/24,INE043D01016,,,,,,,,1767.01,2550.12,6745.28,1491.85,4125.53,4516.53,3915.23,4778.36,2189.95,4532.68,956.78,1283.19,1306.86,864.38,775.38,950.63,1442.0,1730.83,2271.88,1981.22
SUN PHARM.INDUSTRIES,INE044A01036,110.14,800.33,600.39,596.22,568.01,1251.11,2090.85,3099.97,4525.83,5817.42,4432.51,6783.32,9909.79,11458.7,14016.08,19633.78,31105.09,29569.15,22828.82,20641.85,14245.35,14043.69,20041.09,28553.81,29418.18,40988.43,47896.58
